City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,85.32,73,100,16.33,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,76.37,71,12,5.64,few clouds
2,Mataura,NZ,-46.1927,168.8643,57.47,87,12,3.36,few clouds
3,Busselton,AU,-33.65,115.3333,61.05,82,67,1.61,broken clouds
4,Saint Anthony,US,45.0205,-93.218,46.0,87,100,17.27,overcast clouds
5,Saint-Joseph,RE,-21.3667,55.6167,72.21,82,2,3.89,clear sky
6,Ossora,RU,59.2353,163.0719,30.11,88,76,2.24,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,42.12,81,8,5.97,clear sky
8,San Patricio,US,28.017,-97.5169,88.52,67,86,18.34,overcast clouds
9,Butaritari,KI,3.0707,172.7902,81.21,79,86,13.09,light rain
10,Korla,CN,41.7597,86.1469,57.74,29,14,3.87,few clouds
11,Bredasdorp,ZA,-34.5322,20.0403,55.49,94,43,4.14,scattered clouds
12,Mahebourg,MU,-20.4081,57.7,74.25,94,20,1.14,few clouds
13,Kaitangata,NZ,-46.2817,169.8464,56.91,75,13,5.55,few clouds
14,Hermanus,ZA,-34.4187,19.2345,58.08,88,60,10.22,broken clouds
15,Atuona,PF,-9.8,-139.0333,78.3,81,100,12.68,light rain
16,Tiksi,RU,71.6872,128.8694,16.48,87,97,10.58,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,41.72,89,64,5.53,broken clouds
18,Florida,US,28.7505,-82.5001,82.38,65,40,3.44,scattered clouds
19,Hongjiang,CN,27.11,109.9956,56.39,84,97,1.28,overcast clouds
20,Naze,JP,28.3667,129.4833,63.52,60,100,11.03,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,64.9,75,34,4.0,scattered clouds
22,Broome,US,42.2506,-75.833,58.68,55,100,7.99,overcast clouds
23,Port Alfred,ZA,-33.5906,26.891,57.18,93,2,1.99,clear sky
24,Lebu,CL,-37.6167,-73.65,52.61,90,16,14.76,few clouds
25,Ushuaia,AR,-54.8,-68.3,38.3,95,81,5.32,broken clouds
26,Lodja,CD,-3.4833,23.4333,66.4,98,100,1.66,overcast clouds
27,Auki,SB,-8.7676,160.7034,80.04,85,100,4.0,overcast clouds
28,Cangzhou,CN,38.3167,116.8667,59.13,44,5,5.17,clear sky
29,Valparaiso,CL,-33.0393,-71.6273,61.03,67,0,11.5,clear sky
30,Sola,VU,-13.8833,167.55,82.11,73,100,4.47,overcast clouds
31,Tautira,PF,-17.7333,-149.15,79.43,74,34,7.65,light rain
32,Ancud,CL,-41.8697,-73.8203,50.63,92,46,4.83,scattered clouds
33,Miri,MY,4.4148,114.0089,76.6,88,95,5.03,light rain
34,Salvador,SV,13.8333,-88.9167,82.06,61,100,6.55,overcast clouds
35,Yarmouth,US,41.7057,-70.2286,57.67,69,0,4.61,clear sky
36,New Norfolk,AU,-42.7826,147.0587,61.92,73,83,1.01,light rain
37,Coquimbo,CL,-29.9533,-71.3436,58.84,77,0,6.51,clear sky
38,Upernavik,GL,72.7868,-56.1549,3.58,86,59,2.95,broken clouds
39,Marondera,ZW,-18.1853,31.5519,52.63,88,93,11.36,overcast clouds
40,Avarua,CK,-21.2078,-159.775,82.45,74,96,5.75,overcast clouds
41,Vaini,TO,-21.2,-175.2,79.97,83,100,15.7,overcast clouds
42,Ornskoldsvik,SE,63.2909,18.7153,43.75,65,75,5.75,broken clouds
43,Eisenerz,AT,47.5333,14.8833,49.08,83,100,1.54,overcast clouds
44,Tecoanapa,MX,16.5167,-98.75,84.92,52,98,8.43,overcast clouds
45,Nchelenge,ZM,-9.3451,28.734,69.78,78,99,4.94,light rain
46,Luderitz,NA,-26.6481,15.1594,71.51,29,0,8.86,clear sky
47,Aswan,EG,24.0934,32.907,81.41,19,3,8.16,clear sky
48,Yellowknife,CA,62.456,-114.3525,42.57,48,7,15.01,clear sky
49,Ayan,RU,56.45,138.1667,30.69,89,33,3.91,scattered clouds
50,Saint George,US,37.1041,-113.5841,78.26,15,0,25.32,clear sky
51,Rio Grande,BR,-32.035,-52.0986,54.95,78,0,9.8,clear sky
52,Hargeysa,SO,9.56,44.065,68.74,66,100,9.86,overcast clouds
53,Eureka,US,40.8021,-124.1637,71.67,70,1,7.0,clear sky
54,Dedza,MW,-14.3779,34.3332,49.46,92,0,3.76,clear sky
55,Asau,RO,46.4333,26.4,45.52,100,69,2.46,broken clouds
56,Papara,BR,-3.9839,-38.7273,81.0,90,56,2.84,broken clouds
57,Hasaki,JP,35.7333,140.8333,54.28,57,100,18.68,overcast clouds
58,Samarai,PG,-10.6167,150.6667,81.97,77,46,8.79,scattered clouds
59,Dali,CN,25.7,100.1833,48.15,90,100,4.79,overcast clouds
60,Limoges,FR,45.75,1.3333,52.36,62,0,8.05,clear sky
61,Lorengau,PG,-2.0226,147.2712,82.0,80,89,3.47,overcast clouds
62,Dikson,RU,73.5069,80.5464,6.22,97,99,10.85,overcast clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,77.54,79,7,6.62,clear sky
64,Kruisfontein,ZA,-34.0033,24.7314,49.89,90,0,4.54,clear sky
65,Mayo,US,38.8876,-76.5119,60.98,90,75,0.0,broken clouds
66,Hobart,AU,-42.8794,147.3294,62.26,73,75,3.0,broken clouds
67,Goderich,CA,43.7501,-81.7165,48.45,98,100,12.53,overcast clouds
68,Sungurlu,TR,40.1675,34.3739,49.44,86,99,3.53,overcast clouds
69,Bolitoc,PH,15.7395,119.8769,81.39,75,59,4.85,broken clouds
70,Portland,US,45.5234,-122.6762,68.9,53,98,3.0,overcast clouds
71,Salaga,GH,8.5508,-0.5188,83.8,58,82,6.26,broken clouds
72,Cabo San Lucas,MX,22.8909,-109.9124,87.62,55,31,13.0,scattered clouds
73,Saskylakh,RU,71.9167,114.0833,11.98,92,51,5.93,broken clouds
74,Kununurra,AU,-15.7667,128.7333,82.38,44,28,8.05,scattered clouds
75,Souillac,MU,-20.5167,57.5167,71.98,94,20,1.14,few clouds
76,Qaanaaq,GL,77.484,-69.3632,8.35,75,19,5.48,few clouds
77,Celestun,MX,20.8667,-90.4,81.18,73,50,14.74,scattered clouds
78,Hilo,US,19.7297,-155.09,81.28,83,75,12.66,broken clouds
79,Killarney,IE,52.05,-9.5167,50.16,95,100,2.21,overcast clouds
80,Suffolk,US,40.8668,-72.7996,59.86,62,0,8.05,clear sky
81,Los Banos,PH,14.1667,121.1833,82.8,79,100,5.3,overcast clouds
82,Kapaa,US,22.0752,-159.319,82.38,79,40,18.41,scattered clouds
83,Geraldton,AU,-28.7667,114.6,48.61,87,0,5.75,clear sky
84,Borazjan,IR,29.2666,51.2159,79.05,45,0,3.44,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,62.69,82,23,3.36,few clouds
86,Khatanga,RU,71.9667,102.5,12.88,91,81,8.28,broken clouds
87,Araouane,ML,18.9048,-3.5265,80.96,14,0,10.54,clear sky
